red 255 0 00
blue 0 0 255
violet 255 0 255
@
20, 30, 50, 30, red
90, 30, 50, 30, blue
160, 30, 50, 30, violet
230, 30, 50, 30, red
300, 30, 50, 30, blue
370, 30, 50, 30, violet
440, 30, 50, 30, red
510, 30, 50, 30, blue
580, 30, 50, 30, violet
650, 30, 50, 30, red
720, 30, 50, 30, blue
790, 30, 50, 30, violet
860, 30, 50, 30, red
930, 30, 50, 30, blue
20, 110, 50, 30, red
90, 110, 50, 30, blue
160, 110, 50, 30, violet
230, 110, 50, 30, red
300, 110, 50, 30, blue
370, 110, 50, 30, violet
440, 110, 50, 30, red
510, 110, 50, 30, blue
580, 110, 50, 30, violet
650, 110, 50, 30, red
720, 110, 50, 30, blue
790, 110, 50, 30, violet
860, 110, 50, 30, red
930, 110, 50, 30, blue
